Account Name,اسم حساب
Accounting,المحاسبة
Accounts Payable,الذمم الدائنة
Accounts Receivable,الذمم المدينة
Actions,إجراءات
Administrator,المسؤول
Agent,وكيل
Agent Code,رمز وكيل
Agent Name,اسم وكيل
Agent Role,وكيل الدور
Agent Role (optional),وكيل الدور (اختياري)
Agriculture,الزراعة
AI & Intelligence,الذكاء الاصطناعي والتحليلات
AI Agent,AI وكيل
AI Agent Register,سجل AI وكيل
AI Agent Summary,ملخص AI وكيل
AI Agent {0} not found,لم يُعثر على AI وكيل {0}
AI Channel Account,AI قناة حساب
AI Channel Account Register,سجل AI قناة حساب
AI Conversation,AI Conversation
AI Conversation Message,AI Conversation Message
AI Conversation Message Register,AI Conversation Message Register
AI Conversation Register,AI Conversation Register
AI Employee,AI الموظف
AI Employee is disabled in settings.,AI الموظف هو معطّل في إعدادات.
AI Employee Settings,إعدادات AI الموظف
AI Employee User,AI الموظف مستخدم
AI Employee Workcenter,AI الموظف مركز العمل
AI OCR Provider,AI OCR Provider
AI OCR Provider Register,AI OCR Provider Register
AI Provider,AI المزود
AI provider error: {0},AI مزود خطأ: {0}
AI Provider Register,سجل AI المزود
AI Provider {0} is disabled,AI المزود {0} هو معطّل
AI Routing Rule,AI توجيه قاعدة
AI Routing Rule Register,سجل AI توجيه قاعدة
AI Vector Store,AI متجه مخزن
AI Vector Store Register,سجل AI متجه مخزن
All,الكل
All activities,كل الأنشطة
All branches,كل الفروع
ALM,إدارة الأصول والخصوم
API,واجهة API
API Key,واجهة API مفتاح
API Key / Access Token,واجهة API مفتاح / الوصول رمز
API key is required for provider {0},واجهة API مفتاح مطلوب لـ مزود {0}
API Version,واجهة API إصدار
APPROVED,معتمد
Asset Insurance,تأمين الأصول
Assigned To,مُسند إلى
Assigned To Me,المُسند إليّ
Assistant,مساعد
Attachments,المرفقات
Audit,التدقيق
Azure OCR,Azure OCR
Azure OpenAI,Azure Open AI
Balance Sheet,الميزانية العمومية
Bank Unmatched Statement Lines,بنود كشف بنك غير مطابقة
Base URL,Base URL
Billing & collections,الفوترة والتحصيل
Bookings & registration,الحجوزات والتسجيل
BOQ,جدول الكميات
Branch,الفرع
Budget & cost control,الميزانية وضبط التكلفة
Buy,المشتريات
CAM & recoveries,المصاريف المشتركة والاستردادات
CAM Budget,ميزانية المصاريف المشتركة
Campaign ROI,عائد الحملة
Cancel,إلغاء
Car Rental,تأجير السيارات
Card Break,قسم
Channel,قناة
Chart,مخطط
Chart of Accounts,دليل الحسابات
Chroma,Chroma
Claude,Claude
Closed,مغلق
Cloud,سحابة
Cloud Only,سحابة فقط
Collection / Index,تحصيل / مؤشر
Commission Accrual,استحقاق العمولات
Commission Schedule,جدول العمولات
Company,الشركة
Company and Branch are required for van sales.,Company and Branch are required for van sales.
Completed,مكتمل
Compliance checks complete,اكتملت فحوصات الامتثال
Compliance Exceptions,استثناءات الامتثال
Compliance Exceptions (IFRS),استثناءات الامتثال (IFRS)
Compliance Exceptions (Tax),استثناءات الامتثال (ضريبي)
Compliance Exceptions Dashboard,لوحة استثناءات الامتثال
Compliance Reports,تقارير الامتثال
Construction,المقاولات
Construction & Engineering,المقاولات والهندسة
Consumer Finance,التمويل الاستهلاكي
Consumer Loan Application DocType not available.,Consumer Loan Application Doc Type not available.
Content,محتوى
Context Window,Context Window
Conversation,Conversation
Core ERP,ERP الأساسي
Cost Center,مركز التكلفة
Could not complete ERP action for {0},تعذّر مكتمل ERP إجراء لـ {0}
Country,الدولة
Create,إنشاء
Create or review your first **AI Agent** record from this workspace.,أنشئ أو راجع أول سجل **AI وكيل** من مساحة العمل هذه.
Create or review your first **AI Conversation** record from this workspace.,Create or review your first **AI Conversation** record from this workspace.
Create or review your first **AI Provider** record from this workspace.,أنشئ أو راجع أول سجل **AI المزود** من مساحة العمل هذه.
Created Consumer Loan Application {0},تاريخ الإنشاء مستهلك قرض تطبيق {0}
Created CRM Case Ticket {0},Created CRM Case Ticket {0}
Created draft HR Expense Claim {0},تاريخ الإنشاء مسودة الموارد البشرية المصروف مطالبة {0}
Created draft HR Leave Application {0},تاريخ الإنشاء مسودة الموارد البشرية إجازة تطبيق {0}
Created draft Sales Quotation {0},تاريخ الإنشاء مسودة مبيعات عرض سعر {0}
Created draft Service Contract {0},تاريخ الإنشاء مسودة خدمة عقد {0}
Created draft Trading Distribution Order {0},Created draft Trading Distribution Order {0}
Created draft Trading Van Sales Invoice {0},Created draft Trading Van Sales Invoice {0}
Created draft Work Order {0},تاريخ الإنشاء مسودة عمل أمر {0}
Created Healthcare Appointment {0},تاريخ الإنشاء الرعاية الصحية موعد {0}
